oid,id_samhsa_ftloc,id_dbhids_tad,id_ba_tad,id_samhsa_otp,id_hfp_fqhc,id_other_srcs,map_marker,name1,name2,name3,website1,website2,phone1,phone2,phone3,street1,street2,city,state_usa,zipcode,latitude,longitude,bu,nu,mu,otp,mat_avail,asm,ba,ref_notes,hh,hwm,rhl,rhs,wm,uo,fqhc,prim_care,telehealth,md,mc,oi,pa,oit,op,ta,hs,mhs,ccc,dvh,pw,ad,se,gl,sp,ah,fem,male,archival_only,why_hidden,data_review,date_update
191,,,,,100062,100150,xx_unlikely,"Spectrum Health Services, Inc.",Broad Street Health Center (BSHC),,https://www.spectrumhs.org/locations/broad-street-health-center-bshc/,,215-235-7944,215-471-2761,,1415 North Broad Street,,Philadelphia,PA,19122,39.97498719,-75.15859411,,,,,No,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
192,,,,,100063,100151,xx_unlikely,"Spectrum Health Services, Inc.",Reed Street Health Center (RSHC),,https://www.spectrumhs.org/locations/reed-street-health-center-rshc/,,215-220-3925,215-471-2761,,1325 South 33rd Street,,Philadelphia,PA,19146,39.93704502,-75.19776498,,,,,No,,,,,,,,False,False,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,,
193,,,,,,100001,tbd_unclear,Asociación Puertorriqueños en Marcha,,,https://apmphila.org/how-we-help/health/,,267-296-7220,267-798-7560,,112 East Allegheny Avenue,,Philadelphia,PA,19134,39.998162,-75.12884,,,,,Unclear,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,True,,,
194,,,,,,100003,other_mat,Drexel University Medicine,Partnership Comprehensive Care Practice,,https://drexelmedicine.org/patient-services/partnership-comprehensive-care-practice/,https://towerhealth.org/locations/drexel-partnership,215-762-2530 (2nd Floor),215-762-6565 (6th Floor),,1427 Vine Street,,Philadelphia,PA,19102,39.958485,-75.16359397,Yes,,,,Yes,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
195,,,,,,100005,other_mat,Tower Health,Psychiatry - Vine Street,,https://towerhealth.org/locations/psychiatry-tower-health-medical-group-psychiatry-vine-street,,267-507-6581,,,1427 Vine Street,8th Floor,Philadelphia,PA,19102,39.958485,-75.16359397,Yes,,,,Yes,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
196,,,,,,100006,other_mat,Tower Health,Chestnut Hill Hospital,,https://towerhealth.org/locations/chestnut-hill-hospital,,215-248-8200,,,8835 Germantown Avenue,,Philadelphia,PA,19118,40.079624,-75.21231596,Yes,,,,Yes,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
197,,,,,,100007,other_mat,Tower Health,Family Medicine Residency - Chestnut Hill,,https://towerhealth.org/locations/tower-health-medical-group-family-medicine-residency-chestnut-hill,,215-248-8145,,,8815 Germantown Avenue,5th Floor,Philadelphia,PA,19118,40.07872732,-75.21240188,Yes,,,,Yes,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
198,,,,,,100008,other_mat,Tower Health,Family Medicine - Broad Street,,https://towerhealth.org/locations/tower-health-medical-group-family-medicine-broad-street,,215-762-5145,,,219 North Broad Street,1st Floor,Philadelphia,PA,19107,39.956888,-75.16223904,Yes,,,,Yes,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
199,,,,,,100024,tbd_unclear,Phila Pain Clinic,,,http://www.philapainclinic.com/,,215-969-2331,,,12000 Bustleton Avenue,Suite 208,Philadelphia,PA,19116,40.122286,-75.01654102,Yes,,,,Yes,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,True,Data needs review,[_] Is pain management clinic unsuitable for listing in MAT finder?,
200,,,,,,100014,other_mat,Psychiatry in Philadelphia & the Main Line,"Michael Ascher, MD",,https://aschermd.com/,,646-812-1421,,,255 South 17th Street,Suite 605,Philadelphia,PA,19103,39.94822961,-75.1693963,Yes,,,,Yes,,,Suite 1008 and Suite 1410 at this same street address have other waivered buprenorphine practitioners.,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,"[_] Add other address from practice website too? Main Line: 257 East Lancaster Avenue, Suite 204, Wynnewood, PA 19096",
201,,,,,,100018,other_mat,Beasley Addiction Specialists,"C. Britt Beasley, MD",,https://beasleyaddiction.com/,,267-417-9078,,,2401 Pennsylvania Avenue,Suite #1C-44,Philadelphia,PA,19130,39.96678401,-75.17772997,Yes,,,,Yes,,,,,,,,,False,,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,False,,,
202,,,,,,100020,other_mat,"Private Practice of Psychiatry, Philadelphia","Chris Pagnani, MD PC",,https://chrispagnanimd.com/,,267-687-0655,,,1528 Walnut Street,Suite 1415,Philadelphia,PA,19102,39.94945698,-75.16733196,Yes,,,,Yes,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
203,,,,,,100016,other_mat,Courage Medicine Health Center Inc.,"Trisha Acri, MD",,https://couragemedicine.org/about/,https://www.integratedcarenews.com/sites/courage-medicine-health-center/,267-217-3217,,,1010 West Lehigh Avenue,,Philadelphia,PA,19133,39.992899,-75.14854602,Yes,,,,Yes,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,NPI updated Sept 2020 lists this practice address,
204,,,,,,100017,tbd_unclear,Courage Medicine,,,https://couragemedicine.org/,https://www.integratedcarenews.com/sites/courage-medicine-health-center/,267-217-3217,215-385-5031,,7198 Castor Avenue,,Philadelphia,PA,19149,40.04920402,-75.06845903,Yes,,,,Yes,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
205,,,,,,100022,other_mat,Adult Psychiatry and Pain Management,"Richard M. Sobel, MD",,https://richardsobelmd.com/,,215-731-1901,,,1500 Walnut Street,Suite 902,Philadelphia,PA,19102,39.94914098,-75.16636201,Yes,,,,Yes,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
206,,,,,,100015,other_mat,BAYADA Home Health Care,Philadelphia Visits,,https://www.bayada.com/offices/pa/philadelphia/1020-n--delaware-ave/home-health,,215-413-0600,267-800-1009,,1020 North Delaware Avenue,,Philadelphia,PA,19125,39.965826,-75.13278503,Yes,,,,Yes,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
207,,,,,,100019,xx_unlikely,Beaumont Retirement,at Bryn Mawr,,https://www.beaumontretirement.com/about/management-team/,,,,,1201 Latona Street,,Philadelphia,PA,19147,39.93472801,-75.16426301,Unclear,,,,Unclear,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,True,Not a practice site,Archiving this entry simply to rule out 1 BP address as MAT listing,
208,,,,,,100026,other_mat,AbsoluteCare,Philadelphia,,https://www.absolutecare.com/members-patients/abcare-philadelphia/,,267-463-5800,,,1080 North Delaware Avenue,Suite 800,Philadelphia,PA,19125,39.9656834,-75.13248116,Yes,,,,Yes,,,,,,,,,False,No,Yes,,,,,,,,Yes,,,,,,,,,,,,,False,,,
209,,,,,,100027,other_mat,CleanSlate,Outpatient Addiction Medicine,Philadelphia Treatment Center,https://www.cleanslatecenters.com/philadelphia-pennsylvania,,267-238-2406,833-505-4673 (HOPE),,2300 South Broad Street,Suite 205,Philadelphia,PA,19145,39.92181401,-75.17068498,Yes,,,,Yes,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
210,,,,,,100012,other_mat,CleanSlate,Outpatient Addiction Medicine,Port Richmond,https://www.cleanslatecenters.com/philadelphia-port-richmond-pennsylvania,,215-433-1855,833-505-4673 (HOPE),,3380 Memphis Street,,Philadelphia,PA,19134,39.99129176,-75.10247758,Yes,,,,Yes,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
211,,,,,,100021,other_mat,FamilyMedAssoc,Dr. John J. Bowden Jr.,Center City Office,https://www.familymedassoc.com/,,215-977-7721,,,205 North Broad Street,Suite 500,Philadelphia,PA,19107,39.95645201,-75.16233702,Yes,,,,Yes,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
212,,,,,,100028,other_mat,FamilyMedAssoc,Dr. John J. Bowden Jr.,Cheltenham Office,https://www.familymedassoc.com/,,215-548-3390,,,1738 West Cheltenham Avenue,,Philadelphia,PA,19126,40.06638101,-75.14515504,Yes,,,,Yes,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
213,,,,,,100025,tbd_unclear,Horizon House,,,https://www.hhinc.org/,,215-386-3838,,,5901 Market Street,3rd Floor,Philadelphia,PA,19139,39.96207099,-75.23911902,,,,,Unclear,,,,,,,,,False,,,,,,,,,,,Yes,Yes,,,,,,,,,,,False,,[_] Is this site directly affiliated with DVCH Fairmount Primary Care at Horizon House? (oid 152),
214,,,,,,100013,other_mat,Main Line Health,"Mario Littman, MD, and Sam Hamid, MD",,https://www.mainlinehealth.org/find-a-doctor/mario-littman,,215-878-7050,,,7300 City Avenue,Suite 203,Philadelphia,PA,19151,39.980165,-75.26765404,Yes,,,,Yes,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
215,,,,,,100023,other_mat,Southeastern Executive Health,"David Clements, MD, and Daniel Bigman, MD",,https://www.myexecutivehealth.com/about-us,,267-361-1001,,,1845 Walnut Street,Suite 1540,Philadelphia,PA,19103,39.950697,-75.171595,Yes,,,,Yes,,,,,,,,,False,,,Yes,No,No,No,,,,,,,,,,,,,,,,,False,,,
216,,,,100114,,,samhsa_otp,"Advanced Treatment Systems, LLC",Coatesville Treatment Center,,,,610-466-9250,,,1825 East Lincoln Highway,,Coatesville,PA,19320,39.98881385,-75.78954892,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
217,,,,100116,,,samhsa_otp,Recovery Centers of America at Devon,Recovery Centers of America at Devon,,,,,,,235 West Lancaster Avenue,,Devon,PA,19333,40.04457494,-75.42686807,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
218,,,,100135,,,samhsa_otp,Aldie Foundation Inc.,,,,,215-642-3230,,,2291 Cabot Boulevard West,,Langhorne,PA,19047,40.19154801,-74.868325,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
219,,,,100132,,,samhsa_otp,Bowling Green Brandywine,Bowling Green Brandywine,,,,610-268-3588,,,1385 Newark Road,,Kennett Square,PA,19348,39.84491838,-75.7652423,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
220,,,,100137,,,samhsa_otp,RCA MAT PA LLC,Delaware County Healthcare Clinic,,,,484-257-1350,,,53 North Union Ave,,Lansdowne,PA,19050,39.94164999,-75.26545999,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
221,,,,100141,,,samhsa_otp,SOAR Corp,Recovery Center (Bristol Program),,https://www.soarcorp.org/,https://www.soarcorp.org/hours-of-operation,,866-616-4450,215-464-4450,7500 Bristol Pike,,Levittown,PA,19057,40.13139901,-74.83110499,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
222,,,,100159,,,samhsa_otp,"Habit Opco, LLC",Habit OPCO - Pottstown,,,,610-970-5410,,,301 Circle of Progress,,Pottstown,PA,19464,40.26263502,-75.66707997,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
223,,,,100161,,,samhsa_otp,Pennsylvania Adult & Teen Challenge,Pennsylvania Adult & Teen Challenge,,,,717-933-4148,,,33 Teen Challenge Road,,Rehrersburg,PA,19550,40.45123601,-76.24396002,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,Street address found via Google Maps search for facility name and city,
224,,,,100175,,,samhsa_otp,New Directions Treatment Services,,,,,610-750-6130,,,1 Park Plaza,,Wyomissing,PA,19610,40.34653289,-75.95840243,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
225,,,,100180,,,samhsa_otp,Richard J Caron Foundation Inc.,Caron Treatment Centers,,,,610-678-2332,,,243 North Galen Hall Road,,Wernersville,PA,19565,40.30969802,-76.09730798,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
226,,,,100181,,,samhsa_otp,"Livengrin Foundation, Inc.",Livengrin Foundation,,,,215-638-5200,,,4833 Hulmeville Road,,Bensalem,PA,19020,40.119043,-74.92713998,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
227,,,,,,,tbd_unclear,DVCH,Fairmount Primary Care Center at Horizon House,Main Admin Office?,,,215-386-3838,,,120 South 30th Street,,Philadelphia,PA,19104,39.95280403,-75.18392369,,,,,Unclear,,,,,,,,False,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,"Compare oid 152 at 5901 Market Street, 19139 (matches website here: https://dvch.org/contact-dvch/ but not here: https://dvch.org/fairmount-primary-horizon-house/)",
228,,,,,,,tbd_unclear,PHMC,Serenity Court,,https://www.phmc.org/site/programs/services-to-special-populations/homeless#serenitycourt,https://nhchc.org/business-directory/245012/serenity-court-homeless-medical-respite-2/,215-684-3432,,,1221 North 19th Street,,Philadelphia,PA,19121,39.973599,-75.16696299,Unclear,,,,Unclear,,,,,,,,False,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,False,,,
229,,,,,,,xx_unlikely,GPHA,Delaware Avenue Health Center,,,,215-925-2400,,,1080 North Delaware Avenue,,Philadelphia,PA,19125,39.9656834,-75.13248116,,,,,Unclear,,,,,,,,False,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,Data needs review,Is HRSA data mistaken? GPHA does not list this address anywhere on their website (https://www.gphainc.org/locations/),
230,,,,,"[100064,100065]",,xx_unlikely,CHHS,Covenant House Health and Dental Center,and Main Admin Office,https://web.archive.org/web/20151108032653/http://www.covenanthousehealth.org/,,215-844-0181,215-844-1020,,251 East Bringhurst Street,,Philadelphia,PA,19144,40.03465299,-75.16494999,,,,,No,,,,,,,,False,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,No MAT?,,
231,,,,,100066,,xx_unlikely,CHHS,Covenant House Health and Dental Center,,,,267-331-9832,,,138 Chelten Avenue,2nd Floor Rear,Philadelphia,PA,19144,40.03281199,-75.17729897,,,,,No,,,,,,,,False,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,True,No MAT?,,
232,,,,,100067,,xx_unlikely,CHHS,Mt. Pleasant Health Center,,,,215-248-7561,,,8125 Stenton Avenue,,Philadelphia,PA,19150,40.06749798,-75.17886798,,,,,No,,,,,,,,False,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,True,No MAT?,,
233,,,,100101,,,samhsa_otp,"Pinnacle Treatment Centers PA-V, LLC",Pinnacle Treatment Services of Aliquippa,,,,724-857-9640,,,400 Woodlawn Drive,,Aliquippa,PA,15001,40.62064898,-80.24167596,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
234,,,,100102,,,samhsa_otp,White Deer Run,,,,,800-255-2335,,,360 White Deer Run Road,,Allenwood,PA,17810,41.100596,-76.92561704,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
235,,,,100103,,,samhsa_otp,Dolminis Methadone Maintenance Program,,,,,814-204-0059,,,2 Sellers Drive,,Altoona,PA,16601,40.46100327,-78.40794378,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
236,,,,100104,,,samhsa_otp,"Pennsylvania Care, LLC",Miners Medical,,,,570-822-5145,,,43 South Main Street,,Ashley,PA,18706,41.21154202,-75.90168198,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
237,,,,100105,,,samhsa_otp,Lehigh County Center for Recovery,,,,,855-256-3285,,,1620 Riverside Drive,,Bethlehem,PA,18015,40.61220899,-75.41315198,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
238,,,,100106,,,samhsa_otp,New Directions Treatment Services,,,,,610-758-8011,,,2442 Broadhead Road,,Bethlehem,PA,18020,40.67822252,-75.36702245,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
239,,,,100107,,,samhsa_otp,MedMark Treatment Centers - Blairsville PA,MedTech Rehab,,,,724-459-4884,,,1984 Route 22,,Blairsville,PA,15717,40.44926562,-79.18390328,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
240,,,,100108,,,samhsa_otp,"Foundations Medical Services, LLC",,,,,724-431-2006,,,160 Hindman Road,,Butler,PA,16001,40.881016,-79.94510302,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
241,,,,100109,,,samhsa_otp,ARS of Pennsylvania LLC,,,,,717-761-4500,,,3433 Trindle Road,,Camp Hill,PA,17011,40.23670199,-76.93858803,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
242,,,,100110,,,samhsa_otp,"Fayette Treatment Program, LLC",GTC,,,,724-966-5000,,,2695 Roy E Furman Highway,,Carmichaels,PA,15320,39.85826555,-79.94592769,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
243,,,,100111,,,samhsa_otp,Pinnacle Treatment Centers PA-VIII,Charleroi Treatment Services,,,,724-565-1310,,,15 Arentzen Boulevard,,Charleroi,PA,15022,40.125069,-79.88518398,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
244,,,,100113,,,samhsa_otp,"Discovery House CU, LLC",Discovery House,,,,814-768-7575,,,214 Airport Road,,Clearfield,PA,16830,41.045781,-78.39766397,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
245,,,,100115,,,samhsa_otp,"Center for Behavioral Health-PA, LLC",Discovery House,,,,724-779-2010,,,301 Smith Drive,Suite 3,Cranberry Township,PA,16066,40.69768102,-80.10152903,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
246,,,,100117,,,samhsa_otp,"Aldie Foundation, Inc.",,,,,215-345-8530,,,11 Welden Drive,,Doylestown,PA,18901,40.33402,-75.14427402,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
247,,,,100118,,,samhsa_otp,"Discovery House-BC, LLC",Discovery House,,,,814-944-7000,,,3438 Route 764,,Duncansville,PA,16635,40.46179,-78.42657802,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
248,,,,100119,,,samhsa_otp,"Habit Opco, LLC",Habit OPCO - Dunmore,,,,570-344-5327,,,118 Monahan Avenue,,Dunmore,PA,18512,41.43104801,-75.615658,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
249,,,,100121,,,samhsa_otp,ARS of Ephrata,,,,,717-740-6910,,,11 South State Street,,Ephrata,PA,17522,40.17876402,-76.17831698,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
250,,,,100122,,,samhsa_otp,Esper Treatment Center,,,,,814-459-0817,,,25 West 18th Street,,Erie,PA,16508,42.11778002,-80.07859497,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
251,,,,100123,,,samhsa_otp,New Directions Healthcare,New Directions Healthcare,,,,814-240-6216,,,306 West 11th Street,,Erie,PA,16501,42.12254098,-80.08865401,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
252,,,,100124,,,samhsa_otp,"DISCOVERY HOUSE-NPA, LLC",Discovery House,,,,724-981-9815,,,1914 Mercer Avenue,,Farrell,PA,16121,41.21379499,-80.48011697,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
253,,,,100125,,,samhsa_otp,Medmark Treatment Centers - Greensburg,,,,,724-834-1144,,,1037 Compass Circle,,Greensburg,PA,15601,40.30710298,-79.52190501,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
254,,,,100126,,,samhsa_otp,"Pinnacle Treatment Centers PA-VII, LLC",Hanover Treatment Services,,,,717-969-8400,,,120 Penn Street,,Hanover,PA,17331,39.80974599,-76.98021298,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
255,,,,100127,,,samhsa_otp,Pennsylvania Psychiatric Institute,,,,,717-782-6844,,,2501 North 3rd Street,,Harrisburg,PA,17110,40.28636699,-76.89813998,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
256,,,,100128,,,samhsa_otp,"Discovery House HA, LLC",Discovery House,,,,717-233-7290,,,3601 Progress Avenue,,Harrisburg,PA,17110,40.31828599,-76.85651,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
257,,,,100129,,,samhsa_otp,"RHJ Medical Center, Inc",,,,,724-696-9600,,,1007 Old State Route 119,,Hunker,PA,15639,40.19205257,-79.58760801,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
258,,,,100131,,,samhsa_otp,"Pinnacle Treatment Centers PA-III, LLC",Alliance Medical Services-Johnstown,,,,814-269-4700,,,1425 Scalp Avenue #175,,Johnstown,PA,15904,40.27262599,-78.85605601,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
259,,,,100133,,,samhsa_otp,"ARS of Lancaster, LP",Addiction Recovery Systems,,,,717-394-7160,,,2192 Embassy Drive,,Lancaster,PA,17603,40.04499198,-76.36176498,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
260,,,,100134,,,samhsa_otp,White Deer Run of Lancaster,,,,,717-396-0650,,,53 North West End Avenue,,Lancaster,PA,17603,40.03974998,-76.32278201,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
261,,,,100138,,,samhsa_otp,New Perspectives of White Deer Run,,,,,717-270-3900,,,3030 Chestnut Street,,Lebanon,PA,17042,40.33776101,-76.45830498,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
262,,,,100139,,,samhsa_otp,"Advanced Treatment Systems, LLC",Lebanon Treatment Center,,,,717-273-8000,,,3030 Chestnut Street,,Lebanon,PA,17046,40.33776101,-76.45830498,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
263,,,,100140,,,samhsa_otp,Polaris Renewal Services II,,,,,724-323-8200,,,2262 University Drive,,Lemont Furnace,PA,15456,39.94208501,-79.65722396,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
264,,,,100142,,,samhsa_otp,UPMC McKeesport Hospital,Addiction Medicine Services,,,,412-664-3342,,,1500 Fifth Avenue,,McKeesport,PA,15132,40.35127,-79.84958797,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
265,,,,100143,,,samhsa_otp,"Pinnacle Treatment Centers PA-VI, LLC dba Greenfield Counseling, Inc.",Greenfield Counseling,,,,814-337-7431,,,11127 Perry Highway,,Meadville,PA,16335,41.61906998,-80.202451,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
266,,,,100144,,,samhsa_otp,"Discovery House CC, LLC",Discovery House,,,,717-766-6974,,,920 Century Drive,,Mechanicsburg,PA,17055,40.21117,-76.963707,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
267,,,,100145,,,samhsa_otp,Bradford Recovery Center,,,,,570-537-6035,,,64 School Street,,Millerton,PA,16936,41.97537002,-76.90710904,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
268,,,,100146,,,samhsa_otp,"Pennsylvania Associates, LLC",Mount Pocono Medical,,,,570-839-7246,,,1151 Pocono Boulevard,Unit #3,Mt Pocono,PA,18344,41.13586102,-75.36446301,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
269,,,,100147,,,samhsa_otp,"Discovery House-NC, LLC",Discovery House,,,,724-598-7999,,,2710 West State Street,,New Castle,PA,16101,41.01475098,-80.40053197,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
270,,,,100150,,,samhsa_otp,"Habit Opco, LLC",Habit Opco - Allentown,,,,610-481-0444,,,2970 Corporate Court,Suite 1,Orefield,PA,18069,40.616302,-75.65999701,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
271,,,,100151,,,samhsa_otp,Polaris Renewal Services,,,,,724-736-8390,,,3591 Pittsburgh Road,,Perryopolis,PA,15473,40.09750402,-79.76380497,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
272,,,,100152,,,samhsa_otp,"Pinnacle Treatment Centers PA-II, LLC",Alliance Medical Services Ensign II,,,,412-488-6360,,,739 Ensign Avenue,,Pittsburgh,PA,15226,40.40626898,-80.00488703,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
273,,,,100153,,,samhsa_otp,"Pinnacle Treatment Centers PA-I, LLC",Alliance Medical Services Ensign I,,,,412-488-6360,,,729 Ensign Avenue,,Pittsburgh,PA,15226,40.405862,-80.00418002,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
274,,,,100154,,,samhsa_otp,"Center for Behavioral Health-PA, LLC",Discovery House,,,,412-661-9222,,,1391 Washington Boulevard,,Pittsburgh,PA,15206,40.46997199,-79.90899798,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
275,,,,100155,,,samhsa_otp,"Progressive Medical Specialists, Inc.",OTP,,,,412-391-6384,,,2900 Smallman Street,,Pittsburgh,PA,15201,40.45842399,-79.97465904,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
276,,,,100156,,,samhsa_otp,"Tadiso, Inc.",,,,,412-322-8415,,,1425 Beaver Avenue,,Pittsburgh,PA,15233,40.453802,-80.02984398,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
277,,,,100157,,,samhsa_otp,VA Pittsburgh Healthcare System Center for Treatment of Addictive Disorders,Opioid Substitution Treatment Clinic,,https://www.va.gov/pittsburgh-health-care/,,412-360-6092,,,4100 Allequippa Street,,Pittsburgh,PA,15240,40.44715499,-79.95949701,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,Street address found via Google Maps search | website also lists University Drive C and 1010 Delafield Road,
278,,,,100158,,,samhsa_otp,"Pinnacle Treatment Centers PA-IV, LLC",Summit Medical Services,,,,412-255-8717,,,3121 Smallman Street,,Pittsburgh,PA,15201,40.461042,-79.97184297,,,,Yes,Yes,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
